,Revenuein mil. US$,Net incomein mil. US$,Total assetsin mil. US$,Price per sharein US$,Employees
2005,2010.0,89.0,1629.0,8.81,2101.0
2006,2376.0,301.0,1955.0,16.76,2737.0
2007,3069.0,449.0,2675.0,25.68,4083.0
2008,4098.0,798.0,3748.0,14.77,4985.0
2009,3425.0,-30.0,3351.0,10.97,3772.0
2010,3326.0,-68.0,3586.0,12.56,5706.0
2011,3543.0,253.0,4495.0,15.63,6029.0
2012,3998.0,581.0,5553.0,12.52,5042.0
2013,4280.0,563.0,6412.0,13.38,7974.0
2014,4130.0,440.0,7251.0,17.83,6384.0
2015,4682.0,631.0,7201.0,23.71,6384.0
2016,5010.0,614.0,7370.0,53.76,9227.0
2017,6910.0,1666.0,9841.0,149.79,10299.0
2018,9714.0,3047.0,11241.0,232.38,11528.0
2019,11716.0,4141.0,13292.0,174.59,13277.0
2020,10918.0,2796.0,17315.0,395.63,13775.0
Somma,83205.0,16271.0,106915.0,1178.77,113303.0
Media,5200.3125,1016.9375,6682.1875,73.673125,7081.4375
